iso,country.name,cown,year,deficit/gdp
AUS,Australia,900,1970,-1.530865423
AUS,Australia,900,1971,-1.497537832
AUS,Australia,900,1972,-1.96441138
AUS,Australia,900,1973,-0.828119555
AUS,Australia,900,1974,-3.450893296
AUS,Australia,900,1975,-4.302212395
AUS,Australia,900,1976,-4.178032275
AUS,Australia,900,1977,-5.077555223
AUS,Australia,900,1978,-4.767286898
AUS,Australia,900,1979,-3.156484858
AUS,Australia,900,1980,-3.331251438
AUS,Australia,900,1981,-3.730136128
AUS,Australia,900,1982,-5.699328433
AUS,Australia,900,1983,-6.086018985
AUS,Australia,900,1984,-5.793584914
AUS,Australia,900,1985,-5.204205185
AUS,Australia,900,1986,-3.525985459
AUS,Australia,900,1987,-1.786717539
AUS,Australia,900,1988,-1.036203182
AUS,Australia,900,1989,-2.089202692
AUS,Australia,900,1990,-3.316213915
AUS,Australia,900,1991,-5.801547679
AUS,Australia,900,1992,-6.181095614
AUS,Australia,900,1993,-4.421976116
AUS,Australia,900,1994,-4.152521296
AUS,Australia,900,1995,-2.905047204
AUS,Australia,900,1996,-1.128777524
AUS,Australia,900,1997,0.173440776
AUS,Australia,900,1998,0.724587408
AUS,Australia,900,1999,2.002393854
AUS,Australia,900,2000,-1.230479336
AUS,Australia,900,2001,-0.798601486
AUS,Australia,900,2002,0.720309557
AUS,Australia,900,2003,0.820027551
AUS,Australia,900,2004,0.973786349
AUS,Australia,900,2005,1.692545789
AUS,Australia,900,2006,1.642821927
AUS,Australia,900,2007,0.708151568
AUS,Australia,900,2008,-3.753709364
AUS,Australia,900,2009,-5.50005042
AUS,Australia,900,2010,-4.38468158
AUS,Australia,900,2011,-4.563602352
AUS,Australia,900,2012,-2.859346416
AUS,Australia,900,2013,-2.834232373
AUS,Australia,900,2014,-2.363137133
AUS,Australia,900,2015,-2.241438319
AUS,Australia,900,2016,-1.440910365
AUT,Austria,305,1995,-6.133971278
AUT,Austria,305,1996,-4.503610369
AUT,Austria,305,1997,-2.575791199
AUT,Austria,305,1998,-2.696226841
AUT,Austria,305,1999,-2.595886654
AUT,Austria,305,2000,-2.404669559
AUT,Austria,305,2001,-0.661575545
AUT,Austria,305,2002,-1.381174923
AUT,Austria,305,2003,-1.786425452
AUT,Austria,305,2004,-4.804986015
AUT,Austria,305,2005,-2.508353536
AUT,Austria,305,2006,-2.535440659
AUT,Austria,305,2007,-1.354608599
AUT,Austria,305,2008,-1.495265332
AUT,Austria,305,2009,-5.329709674
AUT,Austria,305,2010,-4.441277197
AUT,Austria,305,2011,-2.55356277
AUT,Austria,305,2012,-2.189058043
AUT,Austria,305,2013,-1.950077521
AUT,Austria,305,2014,-2.685392915
AUT,Austria,305,2015,-1.033759247
AUT,Austria,305,2016,-1.642943845
BEL,Belgium,211,1995,-4.445887311
BEL,Belgium,211,1996,-3.931326131
BEL,Belgium,211,1997,-2.124940313
BEL,Belgium,211,1998,-0.947973812
BEL,Belgium,211,1999,-0.550883198
BEL,Belgium,211,2000,-0.071914864
BEL,Belgium,211,2001,0.171903665
BEL,Belgium,211,2002,0.045298368
BEL,Belgium,211,2003,-1.761025204
BEL,Belgium,211,2004,-0.158146274
BEL,Belgium,211,2005,-2.757665962
BEL,Belgium,211,2006,0.223013322
BEL,Belgium,211,2007,0.068897995
BEL,Belgium,211,2008,-1.099964724
BEL,Belgium,211,2009,-5.379735312
BEL,Belgium,211,2010,-3.997337719
BEL,Belgium,211,2011,-4.12572938
BEL,Belgium,211,2012,-4.226476329
BEL,Belgium,211,2013,-3.137586347
BEL,Belgium,211,2014,-3.056322919
BEL,Belgium,211,2015,-2.471644732
BEL,Belgium,211,2016,-2.489549659
CAN,Canada,20,1981,-2.902040472
CAN,Canada,20,1982,-6.923440881
CAN,Canada,20,1983,-8.02900229
CAN,Canada,20,1984,-7.970137514
CAN,Canada,20,1985,-8.791647844
CAN,Canada,20,1986,-7.352083135
CAN,Canada,20,1987,-5.769977235
CAN,Canada,20,1988,-4.528980575
CAN,Canada,20,1989,-4.736288276
CAN,Canada,20,1990,-5.932781816
CAN,Canada,20,1991,-8.389524249
CAN,Canada,20,1992,-9.230201992
CAN,Canada,20,1993,-8.963911212
CAN,Canada,20,1994,-6.957633055
CAN,Canada,20,1995,-5.507175746
CAN,Canada,20,1996,-3.062578251
CAN,Canada,20,1997,0.038831643
CAN,Canada,20,1998,0.143177975
CAN,Canada,20,1999,1.661297259
CAN,Canada,20,2000,2.648542245
CAN,Canada,20,2001,0.531343571
CAN,Canada,20,2002,-0.234729943
CAN,Canada,20,2003,-0.127407893
CAN,Canada,20,2004,0.770295182
CAN,Canada,20,2005,1.558120235
CAN,Canada,20,2006,1.832989659
CAN,Canada,20,2007,1.824430644
CAN,Canada,20,2008,0.184945094
CAN,Canada,20,2009,-3.891180421
CAN,Canada,20,2010,-4.748726032
CAN,Canada,20,2011,-3.316475707
CAN,Canada,20,2012,-2.530601138
CAN,Canada,20,2013,-1.872802078
CAN,Canada,20,2014,0.175009032
CAN,Canada,20,2015,-0.129679971
CAN,Canada,20,2016,-1.09687714
CAN,Canada,20,2017,-0.97039025
CZE,Czechia,316,1995,-12.43268763
CZE,Czechia,316,1996,-3.012249621
CZE,Czechia,316,1997,-3.184316328
CZE,Czechia,316,1998,-4.181627841
CZE,Czechia,316,1999,-3.132022278
CZE,Czechia,316,2000,-3.574525099
CZE,Czechia,316,2001,-5.48497085
CZE,Czechia,316,2002,-6.356287412
CZE,Czechia,316,2003,-6.884544521
CZE,Czechia,316,2004,-2.381268033
CZE,Czechia,316,2005,-2.991334273
CZE,Czechia,316,2006,-2.171516836
CZE,Czechia,316,2007,-0.653521755
CZE,Czechia,316,2008,-1.97968896
CZE,Czechia,316,2009,-5.450094379
CZE,Czechia,316,2010,-4.189741535
CZE,Czechia,316,2011,-2.72440939
CZE,Czechia,316,2012,-3.929937398
CZE,Czechia,316,2013,-1.247618425
CZE,Czechia,316,2014,-1.925523015
CZE,Czechia,316,2015,-0.630164653
CZE,Czechia,316,2016,0.73314981
DNK,Denmark,390,1995,-3.618293788
DNK,Denmark,390,1996,-2.482573914
DNK,Denmark,390,1997,-1.200213938
DNK,Denmark,390,1998,-0.388536815
DNK,Denmark,390,1999,0.868853608
DNK,Denmark,390,2000,1.887314306
DNK,Denmark,390,2001,1.14055439
DNK,Denmark,390,2002,-0.015387114
DNK,Denmark,390,2003,-0.133147637
DNK,Denmark,390,2004,2.073172594
DNK,Denmark,390,2005,4.955031072
DNK,Denmark,390,2006,4.987100686
DNK,Denmark,390,2007,5.020458983
DNK,Denmark,390,2008,3.173907975
DNK,Denmark,390,2009,-2.798141618
DNK,Denmark,390,2010,-2.710270878
DNK,Denmark,390,2011,-2.055766184
DNK,Denmark,390,2012,-3.490444865
DNK,Denmark,390,2013,-1.235647209
DNK,Denmark,390,2014,1.144427647
DNK,Denmark,390,2015,-1.471011905
DNK,Denmark,390,2016,-0.408768409
FIN,Finland,375,1975,4.964857797
FIN,Finland,375,1976,7.646863851
FIN,Finland,375,1977,6.276497614
FIN,Finland,375,1978,3.868496469
FIN,Finland,375,1979,3.437295447
FIN,Finland,375,1980,3.746808384
FIN,Finland,375,1981,5.134666877
FIN,Finland,375,1982,3.081879947
FIN,Finland,375,1983,1.537978657
FIN,Finland,375,1984,3.243111892
FIN,Finland,375,1985,3.362786309
FIN,Finland,375,1986,3.825310807
FIN,Finland,375,1987,1.645732166
FIN,Finland,375,1988,5.177580322
FIN,Finland,375,1989,6.71717348
FIN,Finland,375,1990,5.31150423
FIN,Finland,375,1991,-0.911892551
FIN,Finland,375,1992,-5.309244331
FIN,Finland,375,1993,-8.068992863
FIN,Finland,375,1994,-6.470341971
FIN,Finland,375,1995,-5.928609116
FIN,Finland,375,1996,-3.247109543
FIN,Finland,375,1997,-1.20916036
FIN,Finland,375,1998,1.635626589
FIN,Finland,375,1999,1.68369799
FIN,Finland,375,2000,6.855226367
FIN,Finland,375,2001,4.982795267
FIN,Finland,375,2002,4.071104397
FIN,Finland,375,2003,2.441792187
FIN,Finland,375,2004,2.209784385
FIN,Finland,375,2005,2.593270757
FIN,Finland,375,2006,3.931314957
FIN,Finland,375,2007,5.132808815
FIN,Finland,375,2008,4.180454388
FIN,Finland,375,2009,-2.528324191
FIN,Finland,375,2010,-2.609834313
FIN,Finland,375,2011,-1.044349288
FIN,Finland,375,2012,-2.183259674
FIN,Finland,375,2013,-2.613874436
FIN,Finland,375,2014,-3.210625189
FIN,Finland,375,2015,-2.758535142
FIN,Finland,375,2016,-1.792161206
FRA,France,220,1978,-1.790750222
FRA,France,220,1979,-0.461157149
FRA,France,220,1980,-0.408419037
FRA,France,220,1981,-2.381012873
FRA,France,220,1982,-2.809242931
FRA,France,220,1983,-2.512499694
FRA,France,220,1984,-2.705848533
FRA,France,220,1985,-2.94224
FRA,France,220,1986,-3.165723956
FRA,France,220,1987,-1.983771154
FRA,France,220,1988,-2.531405873
FRA,France,220,1989,-1.753174228
FRA,France,220,1990,-2.401790243
FRA,France,220,1991,-2.826967529
FRA,France,220,1992,-4.55472665
FRA,France,220,1993,-6.298828635
FRA,France,220,1994,-5.369348714
FRA,France,220,1995,-5.124464577
FRA,France,220,1996,-3.899678303
FRA,France,220,1997,-3.626035689
FRA,France,220,1998,-2.40665128
FRA,France,220,1999,-1.578372897
FRA,France,220,2000,-1.318518848
FRA,France,220,2001,-1.436526182
FRA,France,220,2002,-3.087704068
FRA,France,220,2003,-3.859443838
FRA,France,220,2004,-3.48897566
FRA,France,220,2005,-3.165332752
FRA,France,220,2006,-2.341810435
FRA,France,220,2007,-2.5436996
FRA,France,220,2008,-3.183255255
FRA,France,220,2009,-7.182092782
FRA,France,220,2010,-6.813925176
FRA,France,220,2011,-5.133337607
FRA,France,220,2012,-4.816023928
FRA,France,220,2013,-4.135480528
FRA,France,220,2014,-3.926832119
FRA,France,220,2015,-3.592628528
FRA,France,220,2016,-3.407935099
DEU,Germany,255,1995,-9.426662032
DEU,Germany,255,1996,-3.542350181
DEU,Germany,255,1997,-2.945111815
DEU,Germany,255,1998,-2.531822438
DEU,Germany,255,1999,-1.698210065
DEU,Germany,255,2000,0.858926142
DEU,Germany,255,2001,-3.111590247
DEU,Germany,255,2002,-3.94420832
DEU,Germany,255,2003,-4.175615293
DEU,Germany,255,2004,-3.740784455
DEU,Germany,255,2005,-3.416939753
DEU,Germany,255,2006,-1.721508409
DEU,Germany,255,2007,0.187249078
DEU,Germany,255,2008,-0.17687197
DEU,Germany,255,2009,-3.234997643
DEU,Germany,255,2010,-4.220987109
DEU,Germany,255,2011,-0.956783273
DEU,Germany,255,2012,-0.033680654
DEU,Germany,255,2013,-0.140363168
DEU,Germany,255,2014,0.325152516
DEU,Germany,255,2015,0.637294038
DEU,Germany,255,2016,0.816590067
GRC,Greece,350,1995,-9.730979547
GRC,Greece,350,1996,-8.15826266
GRC,Greece,350,1997,-6.056026225
GRC,Greece,350,1998,-6.268433569
GRC,Greece,350,1999,-5.793462652
GRC,Greece,350,2000,-4.0630872
GRC,Greece,350,2001,-5.466055745
GRC,Greece,350,2002,-6.024075591
GRC,Greece,350,2003,-7.830423452
GRC,Greece,350,2004,-8.827879771
GRC,Greece,350,2005,-6.187942655
GRC,Greece,350,2006,-5.94597758
GRC,Greece,350,2007,-6.707074634
GRC,Greece,350,2008,-10.17602394
GRC,Greece,350,2009,-15.14139977
GRC,Greece,350,2010,-11.19711452
GRC,Greece,350,2011,-10.27875911
GRC,Greece,350,2012,-8.891031665
GRC,Greece,350,2013,-13.15994312
GRC,Greece,350,2014,-3.586211942
GRC,Greece,350,2015,-5.718839935
GRC,Greece,350,2016,0.453503639
HUN,Hungary,310,1995,-8.604722058
HUN,Hungary,310,1996,-4.368389928
HUN,Hungary,310,1997,-5.527835309
HUN,Hungary,310,1998,-7.448474825
HUN,Hungary,310,1999,-5.127077065
HUN,Hungary,310,2000,-3.02665738
HUN,Hungary,310,2001,-4.048995229
HUN,Hungary,310,2002,-8.826551825
HUN,Hungary,310,2003,-7.116201658
HUN,Hungary,310,2004,-6.535440333
HUN,Hungary,310,2005,-7.770954455
HUN,Hungary,310,2006,-9.272919105
HUN,Hungary,310,2007,-5.024701118
HUN,Hungary,310,2008,-3.680953959
HUN,Hungary,310,2009,-4.538781357
HUN,Hungary,310,2010,-4.474196296
HUN,Hungary,310,2011,-5.414108309
HUN,Hungary,310,2012,-2.399351879
HUN,Hungary,310,2013,-2.620975574
HUN,Hungary,310,2014,-2.746690056
HUN,Hungary,310,2015,-1.993538274
HUN,Hungary,310,2016,-1.853547286
ISL,Iceland,395,1998,-0.649857859
ISL,Iceland,395,1999,0.822359689
ISL,Iceland,395,2000,1.233576799
ISL,Iceland,395,2001,-0.975029441
ISL,Iceland,395,2002,-2.794513783
ISL,Iceland,395,2003,-3.124631783
ISL,Iceland,395,2004,-0.325354982
ISL,Iceland,395,2005,4.47820773
ISL,Iceland,395,2006,5.863506788
ISL,Iceland,395,2007,4.911245245
ISL,Iceland,395,2008,-13.02998308
ISL,Iceland,395,2009,-9.636919057
ISL,Iceland,395,2010,-9.720573237
ISL,Iceland,395,2011,-5.563274077
ISL,Iceland,395,2012,-3.717699045
ISL,Iceland,395,2013,-1.831779781
ISL,Iceland,395,2014,-0.074118589
ISL,Iceland,395,2015,-0.813481812
ISL,Iceland,395,2016,12.63941294
IRL,Ireland,205,1995,-2.142023885
IRL,Ireland,205,1996,-0.255634164
IRL,Ireland,205,1997,1.326007442
IRL,Ireland,205,1998,2.026812032
IRL,Ireland,205,1999,2.417915887
IRL,Ireland,205,2000,4.866820792
IRL,Ireland,205,2001,0.969762187
IRL,Ireland,205,2002,-0.513670874
IRL,Ireland,205,2003,0.360650055
IRL,Ireland,205,2004,1.314485876
IRL,Ireland,205,2005,1.589949958
IRL,Ireland,205,2006,2.794783323
IRL,Ireland,205,2007,0.288785485
IRL,Ireland,205,2008,-6.999067059
IRL,Ireland,205,2009,-13.79722371
IRL,Ireland,205,2010,-32.05036913
IRL,Ireland,205,2011,-12.72894407
IRL,Ireland,205,2012,-8.037405392
IRL,Ireland,205,2013,-6.111883144
IRL,Ireland,205,2014,-3.649092012
IRL,Ireland,205,2015,-1.896057381
IRL,Ireland,205,2016,-0.692147208
ITA,Italy,325,1995,-7.253330361
ITA,Italy,325,1996,-6.651063604
ITA,Italy,325,1997,-3.011939414
ITA,Italy,325,1998,-3.021243074
ITA,Italy,325,1999,-1.804503348
ITA,Italy,325,2000,-1.323686443
ITA,Italy,325,2001,-3.393204445
ITA,Italy,325,2002,-3.073129606
ITA,Italy,325,2003,-3.413581096
ITA,Italy,325,2004,-3.566924224
ITA,Italy,325,2005,-4.173386305
ITA,Italy,325,2006,-3.587339634
ITA,Italy,325,2007,-1.526574992
ITA,Italy,325,2008,-2.691908125
ITA,Italy,325,2009,-5.26938416
ITA,Italy,325,2010,-4.245583321
ITA,Italy,325,2011,-3.711900893
ITA,Italy,325,2012,-2.926735533
ITA,Italy,325,2013,-2.949833388
ITA,Italy,325,2014,-3.030039205
ITA,Italy,325,2015,-2.583893489
ITA,Italy,325,2016,-2.494842048
JPN,Japan,740,2005,-4.410027382
JPN,Japan,740,2006,-2.970792004
JPN,Japan,740,2007,-2.756333505
JPN,Japan,740,2008,-4.119426397
JPN,Japan,740,2009,-9.776445809
JPN,Japan,740,2010,-9.146026442
JPN,Japan,740,2011,-9.088060137
JPN,Japan,740,2012,-8.302515854
JPN,Japan,740,2013,-7.64182524
JPN,Japan,740,2014,-5.383010687
JPN,Japan,740,2015,-3.551523368
JPN,Japan,740,2016,-3.423000049
KOR,South Korea,732,1970,0.153857163
KOR,South Korea,732,1971,-0.969912329
KOR,South Korea,732,1972,-2.521245129
KOR,South Korea,732,1973,-2.307064478
KOR,South Korea,732,1974,-1.808398584
KOR,South Korea,732,1975,-4.144653549
KOR,South Korea,732,1976,-1.179474371
KOR,South Korea,732,1977,-1.998887707
KOR,South Korea,732,1978,-0.342883176
KOR,South Korea,732,1979,-0.223781693
KOR,South Korea,732,1980,-1.132975098
KOR,South Korea,732,1981,-3.253588517
KOR,South Korea,732,1982,-0.187130883
KOR,South Korea,732,1983,0.964905524
KOR,South Korea,732,1984,1.436377088
KOR,South Korea,732,1985,0.719512698
KOR,South Korea,732,1986,1.294086225
KOR,South Korea,732,1987,2.079615723
KOR,South Korea,732,1988,2.73360662
KOR,South Korea,732,1989,2.293203195
KOR,South Korea,732,1990,2.402885405
KOR,South Korea,732,1991,1.234483659
KOR,South Korea,732,1992,1.010475454
KOR,South Korea,732,1993,1.628032303
KOR,South Korea,732,1994,2.541071787
KOR,South Korea,732,1995,3.072550091
KOR,South Korea,732,1996,3.19405463
KOR,South Korea,732,1997,2.71290255
KOR,South Korea,732,1998,0.647597758
KOR,South Korea,732,1999,1.641783076
KOR,South Korea,732,2000,4.358638418
KOR,South Korea,732,2001,2.965088745
KOR,South Korea,732,2002,3.514560026
KOR,South Korea,732,2003,-1.963830255
KOR,South Korea,732,2004,0.231349706
KOR,South Korea,732,2005,1.55166796
KOR,South Korea,732,2006,2.333656918
KOR,South Korea,732,2007,4.236124571
KOR,South Korea,732,2008,2.338078983
KOR,South Korea,732,2009,-1.316783649
KOR,South Korea,732,2010,0.973446781
KOR,South Korea,732,2011,0.975147091
KOR,South Korea,732,2012,1.012641631
KOR,South Korea,732,2013,1.335755811
KOR,South Korea,732,2014,1.268949779
KOR,South Korea,732,2015,1.281637599
KOR,South Korea,732,2016,2.11721996
LUX,Luxembourg,212,1995,2.668629907
LUX,Luxembourg,212,1996,1.592839534
LUX,Luxembourg,212,1997,2.801249953
LUX,Luxembourg,212,1998,3.234901921
LUX,Luxembourg,212,1999,3.479576552
LUX,Luxembourg,212,2000,5.888406463
LUX,Luxembourg,212,2001,5.909407096
LUX,Luxembourg,212,2002,2.44083305
LUX,Luxembourg,212,2003,0.185964528
LUX,Luxembourg,212,2004,-1.283097372
LUX,Luxembourg,212,2005,0.077619689
LUX,Luxembourg,212,2006,1.935906842
LUX,Luxembourg,212,2007,4.151201902
LUX,Luxembourg,212,2008,3.319871778
LUX,Luxembourg,212,2009,-0.674725529
LUX,Luxembourg,212,2010,-0.658248886
LUX,Luxembourg,212,2011,0.512850262
LUX,Luxembourg,212,2012,0.344962079
LUX,Luxembourg,212,2013,0.975437841
LUX,Luxembourg,212,2014,1.344048574
LUX,Luxembourg,212,2015,1.381884059
LUX,Luxembourg,212,2016,1.631480855
MEX,Mexico,70,2003,0.356900733
MEX,Mexico,70,2004,1.563001189
MEX,Mexico,70,2005,1.537204091
MEX,Mexico,70,2006,0.742129165
MEX,Mexico,70,2007,0.151237802
MEX,Mexico,70,2008,-0.163942809
MEX,Mexico,70,2009,-0.589805515
MEX,Mexico,70,2010,-0.581602726
MEX,Mexico,70,2011,-0.077098579
MEX,Mexico,70,2012,-0.1255565
MEX,Mexico,70,2013,0.217828694
MEX,Mexico,70,2014,-0.611474906
MEX,Mexico,70,2015,-0.867126283
NLD,Netherlands,210,1995,-8.591908182
NLD,Netherlands,210,1996,-1.727161812
NLD,Netherlands,210,1997,-1.273012733
NLD,Netherlands,210,1998,-0.904665888
NLD,Netherlands,210,1999,0.326151413
NLD,Netherlands,210,2000,1.879208411
NLD,Netherlands,210,2001,-0.348230319
NLD,Netherlands,210,2002,-2.079470011
NLD,Netherlands,210,2003,-3.016355781
NLD,Netherlands,210,2004,-1.72271963
NLD,Netherlands,210,2005,-0.256044163
NLD,Netherlands,210,2006,0.210458347
NLD,Netherlands,210,2007,0.211648839
NLD,Netherlands,210,2008,0.223730097
NLD,Netherlands,210,2009,-5.430903261
NLD,Netherlands,210,2010,-4.991512434
NLD,Netherlands,210,2011,-4.288498419
NLD,Netherlands,210,2012,-3.884903683
NLD,Netherlands,210,2013,-2.374116811
NLD,Netherlands,210,2014,-2.266639317
NLD,Netherlands,210,2015,-2.05118976
NLD,Netherlands,210,2016,0.366189847
NOR,Norway,385,1995,3.154007168
NOR,Norway,385,1996,6.162098199
NOR,Norway,385,1997,7.486743466
NOR,Norway,385,1998,3.252171611
NOR,Norway,385,1999,5.872476991
